model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,0.64,0.64,100,0.0
qwen25-7b-1m,qa,niah_single,ko,none,1.0,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,0.73,0.73,100,0.0
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,0.94,0.94,100,0.0
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,0.27,0.28,100,-0.01
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,0.48,0.49,100,-0.01
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,0.01,0.01,100,0.0
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,0.19,0.19,100,0.0
qwen25-7b-1m,qa,niah_single,pl,none,1.0,0.99,0.99,100,0.0
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,0.04,0.04,100,0.0
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,0.44,0.44,100,0.0
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,0.28,0.28,100,0.0
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,0.49,0.49,100,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,0.0,0.0,100,0.0
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,0.0,0.0,100,0.0
qwen25-7b-1m,qa,niah_single,sw,none,1.0,0.48,0.49,100,-0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,0.08,0.09,100,-0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,0.23,0.24,100,-0.01
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,0.07,0.1,100,-0.03
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,0.11,0.12,100,-0.01
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,0.02,0.02,100,0.0
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,0.11,0.11,100,0.0
qwen25-7b-1m,qa,niah_single,vi,none,1.0,0.96,0.96,100,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,0.0,0.0,100,0.0
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,0.06,0.06,100,0.0
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,0.29,0.29,100,0.0
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,0.5,0.5,100,0.0
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,0.0,0.0,100,0.0
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,0.06,0.06,100,0.0
qwen25-7b-1m,qa,niah_single,zh,none,1.0,0.98,0.98,100,0.0
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,0.11,0.11,100,0.0
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,0.36,0.36,100,0.0
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,0.27,0.27,100,0.0
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,0.43,0.43,100,0.0
